项目,Item,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
（1）短期贷款,Short-term  Loans,8.77,8.96,9.26,9.71,9.97,9.64,10.00,10.90,10.83,10.68,10.62,10.70,10.72,11.29,10.64,10.46,10.98,10.44,11.09,11.96,11.82,11.64,10.98,10.94,10.72,10.87,10.49,10.79,10.98,10.80,11.17
消费贷款,Consumption Loans,1.87,1.83,1.81,1.79,1.71,1.69,1.68,1.67,1.60,1.59,1.53,1.49,1.46,1.42,1.40,1.39,1.37,1.35,1.31,1.30,1.29,1.27,1.26,1.22,1.13,1.11,1.09,1.07,1.00,0.99,0.97
经营贷款,Operating Loans,0.23,0.24,0.27,0.29,0.30,0.32,0.34,0.39,0.41,0.43,0.46,0.49,0.48,0.49,0.48,0.47,0.47,0.45,0.44,0.44,0.43,0.40,0.39,0.38,0.36,0.35,0.34,0.35,0.33,0.32,0.29
（2）中长期贷款,Mid & Long-term  Loans,2.10,2.08,2.08,2.08,2.00,2.01,2.03,2.06,2.01,2.01,1.99,1.98,1.94,1.91,1.89,1.86,1.84,1.80,1.75,1.74,1.71,1.67,1.65,1.60,1.48,1.45,1.43,1.42,1.34,1.32,1.27
2. 企（事）业单位贷款,Loans to Non-financial Enterprises and  Government Departments & Organizations,2615.12,2660.27,2721.95,2675.15,2626.60,2600.17,2552.39,2523.41,2442.43,2463.69,2413.89,2324.45,2463.66,2461.85,2539.03,2495.61,2426.61,2313.84,2188.41,2101.70,2034.04,1934.35,1869.73,1775.93,1721.15,1681.90,1641.15,1622.81,1641.39,1686.91,1674.39
（1）短期贷款,Short-term Loans,1502.79,1558.96,1627.69,1596.53,1558.27,1545.57,1498.67,1474.81,1408.52,1424.92,1367.21,1294.79,1436.75,1447.25,1514.55,1484.15,1431.01,1356.54,1241.90,1172.06,1120.00,1047.45,990.94,908.79,879.03,859.76,829.99,816.36,852.03,912.38,897.61
（2）中长期贷款,Mid & Long-term Loans,943.17,933.65,921.48,898.76,886.24,874.44,872.48,868.36,858.49,860.97,866.33,852.03,847.15,833.02,840.02,824.17,804.85,760.12,746.49,727.56,713.15,680.75,667.24,641.14,605.00,584.92,571.10,560.03,541.76,523.33,520.89
（3）票据融资,Paper Financing,0.31,0.28,0.27,0.20,0.18,0.15,0.12,0.10,0.09,0.12,0.11,0.10,0.10,0.10,0.13,0.11,0.06,0.06,0.05,0.04,0.02,0.01,0.01,0.00,0.00,0.02,0.06,0.06,0.04,0.00,0.00
（4）融资租赁,Financial Leases,145.51,143.91,146.48,149.19,152.55,158.49,159.52,158.64,159.83,161.68,163.63,162.09,164.37,166.53,170.41,172.16,175.65,185.19,188.17,189.55,188.33,192.09,196.04,204.06,214.62,214.97,219.27,225.20,226.46,231.09,234.77
（5）各项垫款,Total Advances,23.34,23.47,26.04,30.47,29.35,21.51,21.60,21.49,15.51,15.99,16.61,15.44,15.29,14.94,13.92,15.03,15.04,11.93,11.80,12.49,12.53,14.05,15.50,21.93,22.51,22.22,20.73,21.16,21.10,20.11,21.11
3. 非银行业金融机构贷款,Loans to Non-banking Financial Institutions,144.26,138.66,166.08,154.48,150.30,137.25,134.56,116.65,101.33,99.14,107.91,112.46,118.84,115.19,105.29,106.90,101.42,102.01,102.26,111.13,112.29,115.56,91.41,88.84,98.35,93.77,106.98,80.27,86.35,85.83,85.28
（二）境外贷款,Overseas Loans,4703.25,4596.46,4687.71,4533.10,4426.10,4379.44,4315.79,4236.73,4300.41,4205.98,4157.00,4114.34,4082.09,4035.51,4046.64,3893.66,3901.57,3843.99,3743.20,3713.64,3695.50,3651.30,3541.22,3544.22,3515.96,3538.08,3596.51,3617.42,3653.84,3823.80,3785.90
二、债券投资,Portfolio Investments,2906.22,3049.95,2957.03,2967.15,2994.34,2961.89,2968.32,2955.91,2970.05,2939.22,2934.62,2946.32,2944.31,2984.96,3017.39,3072.69,3061.50,3041.86,3065.27,3081.12,3089.23,3146.74,3278.14,3270.57,3364.82,3388.34,3490.30,3460.03,3500.72,3451.42,3457.31
三、股权及其他投资,Shares and Other Investments,659.54,669.08,667.56,662.75,657.68,655.89,660.93,659.47,649.62,659.30,666.35,672.94,675.78,687.10,696.60,708.25,711.31,718.80,714.56,712.20,754.77,766.47,788.34,816.01,835.30,843.32,853.15,861.51,882.70,885.58,898.10
四、买入返售资产,Reverse Repo,463.19,297.22,224.21,273.13,85.04,93.75,211.15,133.88,28.75,17.29,39.25,26.64,78.61,59.14,5.49,9.24,29.47,103.58,36.59,105.67,139.21,241.08,101.16,251.91,227.67,388.68,404.76,232.30,274.83,490.94,401.40
五、存放非银行业金融机构款项,Due From Non-banking Financial Institutions,799.67,629.66,659.93,650.16,591.05,702.58,669.06,655.89,695.85,693.54,650.57,743.87,681.05,630.47,701.81,640.68,660.94,674.14,715.45,714.69,743.82,687.07,687.19,747.72,814.70,741.64,838.88,879.08,690.39,888.79,653.79
资金运用总计,Total Funds Uses,12302.12,12052.36,12095.81,11927.69,11543.09,11542.62,11524.22,11294.90,11201.27,11090.85,10982.20,10953.69,11057.01,10987.43,11124.77,10939.36,10905.64,10810.45,10578.57,10553.85,10582.38,10555.89,10369.82,10507.71,10590.16,10688.03,10943.66,10765.63,10742.55,11325.37,10968.61
